City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
445,Mecca,SA,21.4267,39.8261,80.44,63,62,4.68,broken clouds
446,Samana,DO,19.2056,-69.3369,80.82,89,75,6.91,broken clouds
447,Buraydah,SA,26.326,43.975,75.65,16,2,9.53,clear sky
448,Mandalgarh,IN,25.2,75.1,68.95,40,0,4.99,clear sky
449,Mount Pleasant,US,32.7941,-79.8626,74.3,82,0,8.05,clear sky
450,Araguaina,BR,-7.1911,-48.2072,75.63,88,100,7.49,overcast clouds
451,Kaliua,TZ,-5.0606,31.7936,79.02,35,99,2.84,overcast clouds
452,Jumla,NP,29.2747,82.1838,41.86,62,1,5.03,clear sky
453,Talnakh,RU,69.4865,88.3972,7.66,97,96,2.44,overcast clouds
454,Ilave,PE,-16.0833,-69.6667,58.57,36,5,11.39,clear sky
455,Werda,BW,-25.2667,23.2833,76.55,7,81,11.14,broken clouds
456,Altamira,BR,-3.2033,-52.2064,91.49,52,40,0.0,scattered clouds
457,Uusikaupunki,FI,60.8004,21.4084,48.79,97,100,6.6,overcast clouds
458,Trairi,BR,-3.2778,-39.2689,78.66,77,99,11.9,overcast clouds
459,Magnor,SE,59.9511,12.1996,46.29,95,98,2.37,overcast clouds
460,Saint Stephen,GB,50.3333,-4.9,59.27,100,75,24.16,broken clouds
461,Beba,CU,22.4437,-79.7253,84.47,71,5,9.55,clear sky
462,Alta Floresta,BR,-9.8756,-56.0861,73.51,88,96,4.09,overcast clouds
463,Yarim,YE,14.298,44.3779,54.23,34,0,4.47,clear sky
464,Ler,SS,8.3018,30.1418,73.85,68,53,4.36,broken clouds
465,Fort Erie,CA,42.9001,-78.9329,75.15,52,75,3.44,broken clouds
466,Hakkari,TR,37.5833,44.1667,35.38,87,20,3.44,few clouds
467,Yining,CN,29.0361,114.5636,60.04,49,85,1.36,overcast clouds
468,Madimba,TZ,-10.4,40.3333,72.39,88,13,6.08,few clouds
469,Doha,QA,25.2867,51.5333,82.38,65,0,1.14,clear sky
470,Bafoulabe,ML,13.8065,-10.8321,83.07,32,26,3.13,scattered clouds
471,Llanes,ES,43.4198,-4.7549,66.88,70,11,9.24,few clouds
